gene_id	chromosome	start	end	width	source	type	score	phase	transcript_id	gene_source	gene_biotype	transcript_source	transcript_biotype	tag	gene_name	transcript_name
DDB_G0271342	2	73360	75578	2219	ensembl	transcript	NA	NA	EAL71801	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	dgat1	dgat1-1
DDB_G0271340	2	76522	78883	2362	ensembl	transcript	NA	NA	EAL71800	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271358	2	79477	80109	633	ensembl	transcript	NA	NA	EAL71809	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271338	2	80918	83014	2097	ensembl	transcript	NA	NA	EAL71799	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	taf7	taf7-1
DDB_G0271136	2	83383	83859	477	ensembl	transcript	NA	NA	EAL71698	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	gafA	gafA-1
DDB_G0271336	2	84159	84710	552	ensembl	transcript	NA	NA	EAL71798	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271360	2	85049	86746	1698	ensembl	transcript	NA	NA	EAL71810	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271334	2	87969	92642	4674	ensembl	transcript	NA	NA	EAL71797	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271332	2	93170	93866	697	ensembl	transcript	NA	NA	EAL71796	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271362	2	94411	96261	1851	ensembl	transcript	NA	NA	EAL71811	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271330	2	97345	99331	1987	ensembl	transcript	NA	NA	EAL71795	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271328	2	100020	100909	890	ensembl	transcript	NA	NA	EAL71794	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271326	2	102030	103978	1949	ensembl	transcript	NA	NA	EAL71793	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271324	2	104273	105468	1196	ensembl	transcript	NA	NA	EAL71792	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271364	2	105543	106965	1423	ensembl	transcript	NA	NA	EAL71812	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271322	2	106300	107065	766	ensembl	transcript	NA	NA	EAL71791	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271320	2	107780	110465	2686	ensembl	transcript	NA	NA	EAL71790	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271366	2	111179	111790	612	ensembl	transcript	NA	NA	EAL71813	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271368	2	111944	113107	1164	ensembl	transcript	NA	NA	EAL71814	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271318	2	113549	113814	266	ensembl	transcript	NA	NA	EAL71789	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271370	2	115000	116100	1101	ensembl	transcript	NA	NA	EAL71815	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271372	2	117705	120704	3000	ensembl	transcript	NA	NA	EAL71816	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271316	2	120793	121653	861	ensembl	transcript	NA	NA	EAL71788	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271314	2	122691	124164	1474	ensembl	transcript	NA	NA	EAL71787	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271312	2	124590	125063	474	ensembl	transcript	NA	NA	EAL71786	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	sf3b5	sf3b5-1
DDB_G0271310	2	125735	126918	1184	ensembl	transcript	NA	NA	EAL71785	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	ucpA	ucpA-1
DDB_G0271308	2	127088	129669	2582	ensembl	transcript	NA	NA	EAL71784	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271306	2	129822	131608	1787	ensembl	transcript	NA	NA	EAL71783	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	nmd3	nmd3-1
DDB_G0271304	2	132172	133092	921	ensembl	transcript	NA	NA	EAL71782	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271148	2	133239	133921	683	ensembl	transcript	NA	NA	EAL71704	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	rps25	rps25-1
DDB_G0271374	2	135005	136400	1396	ensembl	transcript	NA	NA	EAL71817	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271302	2	136477	138924	2448	ensembl	transcript	NA	NA	EAL71781	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271300	2	139580	140112	533	ensembl	transcript	NA	NA	EAL71780	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271298	2	140424	141268	845	ensembl	transcript	NA	NA	EAL71779	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	rpl27	rpl27-1
DDB_G0271296	2	141746	143828	2083	ensembl	transcript	NA	NA	EAL71778	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271294	2	143922	144507	586	ensembl	transcript	NA	NA	EAL71777	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271376	2	144988	145882	895	ensembl	transcript	NA	NA	EAL71818	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271292	2	145979	146752	774	ensembl	transcript	NA	NA	EAL71776	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271378	2	147174	148936	1763	ensembl	transcript	NA	NA	EAL71819	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271290	2	149480	150692	1213	ensembl	transcript	NA	NA	EAL71775	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0295817	2	151328	153636	2309	ensembl	transcript	NA	NA	EEU04141	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271288	2	154060	155421	1362	ensembl	transcript	NA	NA	EAL71774	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271286	2	155520	158592	3073	ensembl	transcript	NA	NA	EAL71773	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	clasp	clasp-1
DDB_G0271284	2	159730	159855	126	ensembl	transcript	NA	NA	EAL71772	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271380	2	160146	160818	673	ensembl	transcript	NA	NA	EAL71820	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271282	2	160979	162041	1063	ensembl	transcript	NA	NA	EAL71771	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	CSN7	CSN7-1
DDB_G0271280	2	162882	164723	1842	ensembl	transcript	NA	NA	EAL71770	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271278	2	165859	166044	186	ensembl	transcript	NA	NA	EAL71769	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271276	2	166090	166911	822	ensembl	transcript	NA	NA	EAL71768	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271382	2	167300	167500	201	ensembl	transcript	NA	NA	EAL71821	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271384	2	168234	171456	3223	ensembl	transcript	NA	NA	EAL71822	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271274	2	171780	172367	588	ensembl	transcript	NA	NA	EAL71767	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271272	2	174413	179109	4697	ensembl	transcript	NA	NA	EAL71766	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271270	2	179519	180598	1080	ensembl	transcript	NA	NA	EAL71765	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271268	2	181275	181835	561	ensembl	transcript	NA	NA	EAL71764	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271266	2	182683	182892	210	ensembl	transcript	NA	NA	EAL71763	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271264	2	183660	185473	1814	ensembl	transcript	NA	NA	EAL71762	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	usp14	usp14-1
DDB_G0271262	2	185601	188894	3294	ensembl	transcript	NA	NA	EAL71761	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271386	2	190327	192051	1725	ensembl	transcript	NA	NA	EAL71823	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271260	2	192510	192719	210	ensembl	transcript	NA	NA	EAL71760	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271138	2	193220	196196	2977	ensembl	transcript	NA	NA	EAL71699	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	abcA8	abcA8-1
DDB_G0271140	2	196707	199668	2962	ensembl	transcript	NA	NA	EAL71700	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	abcA7	abcA7-1
DDB_G0271388	2	199855	202858	3004	ensembl	transcript	NA	NA	EAL71824	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271390	2	203789	204580	792	ensembl	transcript	NA	NA	EAL71825	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271258	2	205354	205488	135	ensembl	transcript	NA	NA	EAL71759	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271256	2	206277	206414	138	ensembl	transcript	NA	NA	EAL71758	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271392	2	207386	209672	2287	ensembl	transcript	NA	NA	EAL71826	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271254	2	210375	211283	909	ensembl	transcript	NA	NA	EAL71757	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271394	2	211402	212935	1534	ensembl	transcript	NA	NA	EAL71827	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271252	2	213313	213582	270	ensembl	transcript	NA	NA	EAL71756	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271396	2	213822	214686	865	ensembl	transcript	NA	NA	EAL71828	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271250	2	214985	216567	1583	ensembl	transcript	NA	NA	EAL71755	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271144	2	216838	218448	1611	ensembl	transcript	NA	NA	EAL71702	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	cnxA	cnxA-1
DDB_G0271398	2	219294	225244	5951	ensembl	transcript	NA	NA	EAL71829	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	mon2	mon2-1
DDB_G0271248	2	226562	227913	1352	ensembl	transcript	NA	NA	EAL71754	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271400	2	227992	229290	1299	ensembl	transcript	NA	NA	EAL71830	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271246	2	229505	230482	978	ensembl	transcript	NA	NA	EAL71753	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	med19	med19-1
DDB_G0271244	2	230689	232323	1635	ensembl	transcript	NA	NA	EAL71752	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271242	2	232357	234234	1878	ensembl	transcript	NA	NA	EAL71751	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271240	2	234746	236537	1792	ensembl	transcript	NA	NA	EAL71750	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	utp18	utp18-1
DDB_G0271402	2	241165	243803	2639	ensembl	transcript	NA	NA	EAL71831	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271238	2	244515	248096	3582	ensembl	transcript	NA	NA	EAL71749	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271234	2	252762	256367	3606	ensembl	transcript	NA	NA	EAL71747	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271232	2	256636	257478	843	ensembl	transcript	NA	NA	EAL71746	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271230	2	257615	257749	135	ensembl	transcript	NA	NA	EAL71745	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271228	2	258017	259915	1899	ensembl	transcript	NA	NA	EAL71744	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271404	2	260280	262361	2082	ensembl	transcript	NA	NA	EAL71832	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271226	2	263709	263843	135	ensembl	transcript	NA	NA	EAL71743	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271220	2	274412	274774	363	ensembl	transcript	NA	NA	EAL71740	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271218	2	275867	279012	3146	ensembl	transcript	NA	NA	EAL71739	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271406	2	279448	281436	1989	ensembl	transcript	NA	NA	EAL71833	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271408	2	282899	284827	1929	ensembl	transcript	NA	NA	EAL71834	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271216	2	285190	287112	1923	ensembl	transcript	NA	NA	EAL71738	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271410	2	287420	288194	775	ensembl	transcript	NA	NA	EAL71835	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271214	2	288473	290452	1980	ensembl	transcript	NA	NA	EAL71737	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271212	2	290676	290795	120	ensembl	transcript	NA	NA	EAL71736	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271210	2	290849	290968	120	ensembl	transcript	NA	NA	EAL71735	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271208	2	291051	291263	213	ensembl	transcript	NA	NA	EAL71734	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271206	2	292886	293273	388	ensembl	transcript	NA	NA	EAL71733	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271204	2	293845	294195	351	ensembl	transcript	NA	NA	EAL71732	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271412	2	294765	296618	1854	ensembl	transcript	NA	NA	EAL71836	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271202	2	297663	299516	1854	ensembl	transcript	NA	NA	EAL71731	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271200	2	299937	302708	2772	ensembl	transcript	NA	NA	EAL71730	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271198	2	303072	303319	248	ensembl	transcript	NA	NA	EAL71729	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271414	2	303584	304540	957	ensembl	transcript	NA	NA	EAL71837	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271196	2	306087	306509	423	ensembl	transcript	NA	NA	EAL71728	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271194	2	306767	307204	438	ensembl	transcript	NA	NA	EAL71727	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271416	2	308274	308408	135	ensembl	transcript	NA	NA	EAL71838	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271418	2	309490	311472	1983	ensembl	transcript	NA	NA	EAL71839	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271352	2	312077	312307	231	ensembl	transcript	NA	NA	EAL71806	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271422	2	314547	315689	1143	ensembl	transcript	NA	NA	EAL71841	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271424	2	317314	319032	1719	ensembl	transcript	NA	NA	EAL71842	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271192	2	319239	319508	270	ensembl	transcript	NA	NA	EAL71726	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271426	2	319722	320461	740	ensembl	transcript	NA	NA	EAL71843	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271428	2	321504	322716	1213	ensembl	transcript	NA	NA	EAL71844	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271430	2	323360	325456	2097	ensembl	transcript	NA	NA	EAL71845	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271432	2	326565	327283	719	ensembl	transcript	NA	NA	EAL71846	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271190	2	327301	328200	900	ensembl	transcript	NA	NA	EAL71725	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271188	2	328676	330047	1372	ensembl	transcript	NA	NA	EAL71724	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271186	2	333149	333520	372	ensembl	transcript	NA	NA	EAL71723	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271434	2	334485	336395	1911	ensembl	transcript	NA	NA	EAL71847	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271180	2	338297	338512	216	ensembl	transcript	NA	NA	EAL71720	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271436	2	338672	339341	670	ensembl	transcript	NA	NA	EAL71848	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271178	2	341330	341751	422	ensembl	transcript	NA	NA	EAL71719	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271176	2	343222	343911	690	ensembl	transcript	NA	NA	EAL71718	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271174	2	344591	345424	834	ensembl	transcript	NA	NA	EAL71717	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0295009	2	347022	347095	74	ensembl	transcript	NA	NA	DDB_G0295009-1	ena	tRNA	ensembl	tRNA	Ensembl_canonical	tRNA-Val-AAC-12	tRNA-Val-AAC-12
DDB_G0271172	2	349161	349697	537	ensembl	transcript	NA	NA	EAL71716	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271170	2	350888	351046	159	ensembl	transcript	NA	NA	EAL71715	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271168	2	351471	351779	309	ensembl	transcript	NA	NA	EAL71714	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271166	2	351938	354690	2753	ensembl	transcript	NA	NA	EAL71713	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271164	2	355407	356592	1186	ensembl	transcript	NA	NA	EAL71712	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271162	2	356657	357039	383	ensembl	transcript	NA	NA	EAL71711	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271438	2	358067	360898	2832	ensembl	transcript	NA	NA	EAL71849	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271160	2	361149	363197	2049	ensembl	transcript	NA	NA	EAL71710	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271158	2	365027	366305	1279	ensembl	transcript	NA	NA	EAL71709	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271440	2	366668	366898	231	ensembl	transcript	NA	NA	EAL71850	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271156	2	369665	371153	1489	ensembl	transcript	NA	NA	EAL71708	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271444	2	371549	372686	1138	ensembl	transcript	NA	NA	EAL71852	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271154	2	373067	373492	426	ensembl	transcript	NA	NA	EAL71707	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271446	2	374254	374700	447	ensembl	transcript	NA	NA	EAL71853	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271152	2	374800	375858	1059	ensembl	transcript	NA	NA	EAL71706	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271150	2	376705	377284	580	ensembl	transcript	NA	NA	EAL71705	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271448	2	377800	378441	642	ensembl	transcript	NA	NA	EAL71854	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271450	2	378769	379305	537	ensembl	transcript	NA	NA	EAL71855	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271452	2	382297	384348	2052	ensembl	transcript	NA	NA	EAL71856	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
